"Story","Title","Result","Date","Stability","Duration (s)"
"When sign up test","Type invalid confirm email test","SUCCESS","2022-11-29T17:09:46.8280935+02:00[Europe/Chisinau]","0.0","7.81"
"When sign up test","Sign up with empty password test","SUCCESS","2022-11-29T17:09:54.9870421+02:00[Europe/Chisinau]","0.0","9.25"
