"Story","Title","Result","Date","Stability","Duration (s)"
"When sign up","Type invalid values","SUCCESS","2022-11-29T17:08:25.1110159+02:00[Europe/Chisinau]","0.0","24.17"
"When sign up","Type invalid year","SUCCESS","2022-11-29T17:08:49.7901781+02:00[Europe/Chisinau]","0.0","10.26"
"When sign up","Sign up with short password","SUCCESS","2022-11-29T17:09:00.3660747+02:00[Europe/Chisinau]","0.0","9.68"
"When sign up","Type invalid confirm email","SUCCESS","2022-11-29T17:09:10.4298007+02:00[Europe/Chisinau]","0.0","8.57"
"When sign up test","Type invalid confirm email test","SUCCESS","2022-11-29T17:09:46.8280935+02:00[Europe/Chisinau]","0.0","7.81"
"When sign up test","Sign up with empty password test","SUCCESS","2022-11-29T17:09:54.9870421+02:00[Europe/Chisinau]","0.0","9.25"
