"Story","Title","Result","Date","Stability","Duration (s)"
"When sign up test","Type invalid year test","FAILURE","2022-11-29T15:06:32.9782469+02:00[Europe/Chisinau]","0.0","9.74"
"When sign up test","Type invalid values test","FAILURE","2022-11-29T15:06:43.0270552+02:00[Europe/Chisinau]","0.0","9.07"
"When sign up test","Type invalid confirm email test","SUCCESS","2022-11-29T15:06:52.4129665+02:00[Europe/Chisinau]","0.0","7.6"
"When sign up test","Sign up with empty password test","SUCCESS","2022-11-29T15:07:00.3240958+02:00[Europe/Chisinau]","0.0","8.65"
