"Story","Title","Result","Date","Stability","Duration (s)"
"When sign up","Sign up with short password","SUCCESS","2022-11-29T17:09:00.3660747+02:00[Europe/Chisinau]","0.0","9.68"
"When sign up","Type invalid confirm email","SUCCESS","2022-11-29T17:09:10.4298007+02:00[Europe/Chisinau]","0.0","8.57"
