"Story","Title","Result","Date","Stability","Duration (s)"
"When sign up test","Type invalid year test","FAILURE","2022-11-29T17:09:26.2410674+02:00[Europe/Chisinau]","0.0","9.36"
"When sign up test","Type invalid values test","FAILURE","2022-11-29T17:09:36.06549+02:00[Europe/Chisinau]","0.0","10.39"
