"Story","Title","Result","Date","Stability","Duration (s)"
"When sign up test","Type invalid year test","FAILURE","2022-11-29T15:06:32.9782469+02:00[Europe/Chisinau]","0.0","9.74"
"When sign up test","Type invalid values test","FAILURE","2022-11-29T15:06:43.0270552+02:00[Europe/Chisinau]","0.0","9.07"
